"filename","dynamics_rms_Mean","dynamics_rms_Std","dynamics_rms_Slope","dynamics_lowenergy_Mean","rhythm_attack_time_Mean","rhythm_attack_time_Std","rhythm_attack_time_Slope","articulation_eventdensity_Mean","rhythm_fluctuation_peak_PeakMagMean","rhythm_tempo_Mean","rhythm_tempo_Std","rhythm_pulseclarity_Mean","rhythm_pulseclarity_Std","timbre_centroid_Mean","timbre_centroid_Std","timbre_roughness_Mean","timbre_irregularity_Mean","timbre_irregularity_Std","timbre_spectralflux_Std","pitch_salient_Mean","pitch_salient_Std","pitch_chromagram_centroid_Mean","pitch_chromagram_centroid_Std","tonal_keyclarity_Mean","tonal_keyclarity_Std","tonal_mode_Mean","tonal_mode_Std","tonal_hcdf_Mean","tonal_spectentr_Mean","structure_novelty_SPE_Mean","structure_novelty_RHY_Mean","structure_novelty_TON_Mean","structure_novelty_REG_Mean"
"Funk_LOW_09.mp3",0.21364,0.101678,-0.155225,0.359296,0.03542,0.038721,-0.090011,3.881206,1666.395352,121.635514,30.501918,0.296481,0.068474,2665.208808,591.907101,11.305436,0.636785,0.344382,36.652161,421.258302,338.830176,63.237961,4.946708,0.605498,0.0624,-0.049994,0.118236,0.424787,0.995169,0.763947,0.739328,0.971687,1.070056
"Funk_LOW_10.mp3",0.133556,0.056007,0.049319,0.39523,0.025758,0.015335,-0.097376,4.423802,3771.689254,123.605899,3.815937,0.513681,0.064209,2649.784647,1013.78976,4.830395,0.720391,0.390679,20.620475,203.210579,216.930222,57.707811,3.030833,0.461192,0.095199,0.029524,0.051494,0.545165,0.996063,0.91537,0.912379,1.291238,1.359412
"Funk_LOW_11.mp3",0.191643,0.073863,0.007189,0.277452,0.036292,0.035181,-0.088122,3.783367,1352.89118,114.125554,35.345157,0.27926,0.062762,1927.400411,653.447863,6.987315,0.464782,0.201573,31.76087,667.835706,375.903863,65.288252,4.009564,0.628687,0.138813,-0.008662,0.151843,0.673779,0.995723,1.100299,1.461352,1.196486,1.278402
"Funk_LOW_12.mp3",0.160335,0.056387,0.239151,0.166107,0.045106,0.050128,0.329718,3.453191,1375.453929,121.594673,36.706308,0.336357,0.07515,1700.528921,663.151421,8.064186,0.35551,0.220385,25.772149,285.584191,299.78397,61.396568,3.659507,0.702618,0.080402,-0.063181,0.117213,0.569528,0.991662,1.160633,1.050592,0.895526,1.298455
"Funk_LOW_13.mp3",0.084199,0.090817,2.357975,0.730131,0.037175,0.033482,0.616695,4.918916,1859.175991,116.272205,33.39035,0.279912,0.108516,1695.99018,943.8964,4.511239,0.310103,0.30338,19.672996,612.974391,372.55803,63.95697,5.039023,0.6102,0.114947,-0.091149,0.114405,0.943203,0.979888,1.226134,1.16595,1.489745,1.486143
"Funk_LOW_14.mp3",0.189098,0.098887,0.230578,0.369529,0.048053,0.063355,-0.017927,3.22936,1884.182666,140.222435,26.284945,0.314224,0.117425,2190.998537,654.856653,9.565755,0.459323,0.282258,46.569467,417.715581,282.175553,66.478146,4.367737,0.645937,0.117757,0.000825,0.124045,0.886533,0.99725,1.133953,0.914353,1.832933,1.545891
"Funk_MED_15.mp3",0.071628,0.063287,0.246193,0.635204,0.043789,0.047934,-0.032238,3.125361,1379.683779,124.975529,26.590358,0.279543,0.102538,2166.351112,967.729832,3.141249,0.419938,0.30965,26.294596,353.920732,233.131267,63.348398,5.594143,0.605672,0.1301,-0.024838,0.083001,0.873856,0.994958,1.001649,0.870779,1.250618,1.217621
"Funk_MED_16.mp3",0.077449,0.051565,2.06348,0.558002,0.053459,0.072055,-0.294886,1.656697,990.60679,123.680063,27.525697,0.255059,0.105328,1779.430307,448.760096,2.186771,0.9795,0.35361,18.606905,516.207591,183.377531,70.47822,5.907933,0.58979,0.087809,-0.029383,0.072182,0.688162,0.994373,1.893198,2.647773,1.39812,1.99363
"Funk_MED_17.mp3",0.119027,0.039382,0.470793,0.219799,0.035392,0.03392,0.434816,4.757513,3068.262642,136.779854,28.707584,0.459999,0.069941,2433.728837,670.543738,5.990498,0.516298,0.293948,17.734571,369.768605,378.751979,59.789201,2.773877,0.440525,0.099265,-0.023288,0.074264,0.614256,0.994261,1.728747,1.697284,1.620826,1.900333
"Funk_MED_18.mp3",0.036961,0.029292,-0.73676,0.629005,0.06841,0.07131,-0.107389,2.525492,1511.950746,142.959886,25.762965,0.292814,0.130831,1784.00403,798.80406,0.864794,0.37593,0.281275,9.901233,281.929981,178.954394,60.419434,4.622338,0.455233,0.099219,0.001246,0.077295,0.998743,0.995431,0.89527,1.054997,0.888545,0.892627
"Funk_MED_19.mp3",0.243741,0.096091,0.050262,0.298995,0.033605,0.021035,0.245502,4.384556,2751.189027,157.467817,30.25107,0.319106,0.082336,2342.037189,892.447204,12.747057,0.485388,0.257136,44.903118,340.336236,330.151926,61.306762,3.884121,0.453905,0.101728,-0.018578,0.070327,0.649655,0.996488,1.087384,1.343676,1.774041,1.569609
"Funk_MED_20.mp3",0.061347,0.056145,0.985926,0.575448,0.047802,0.173142,-0.120947,2.485831,739.231534,136.262331,22.586534,0.390359,0.230975,1517.074325,782.849258,1.955515,0.472157,0.385963,13.233391,393.445772,149.970492,70.00786,4.667928,0.57219,0.113593,0.007853,0.078674,0.729506,0.976399,1.507687,1.917595,1.207222,1.396814
"Funk_MED_21.mp3",0.227338,0.084093,-0.09611,0.239295,0.031128,0.026989,-0.439287,4.529071,2299.943833,120.924573,25.074742,0.313493,0.06041,2031.846435,815.561282,14.537694,0.353904,0.24123,35.396878,250.347079,244.444029,59.475082,3.928854,0.571903,0.163248,-0.061534,0.122576,0.739827,0.992003,0.955769,1.085599,1.096026,1.232459
"Hiphop_HIGH_15.mp3",0.130766,0.07341,-0.063067,0.329082,0.039074,0.056036,-0.231806,2.139464,835.510555,158.105067,25.333945,0.338059,0.125674,854.630243,443.32901,0.831541,0.621854,0.301495,27.179372,238.782005,220.482175,60.200695,4.479569,0.575661,0.138425,0.010932,0.095969,1.186043,0.992327,1.436858,1.303996,1.320898,1.422829
"Hiphop_HIGH_16.mp3",0.204666,0.17474,2.611925,0.582278,0.05518,0.051694,-0.022603,2.697499,2467.064553,123.805475,20.834698,0.354407,0.187088,1369.715129,501.525231,4.21667,0.525209,0.390253,45.330601,300.131476,279.053091,60.694268,4.236016,0.667967,0.128395,0.061596,0.122736,1.114194,0.990193,1.371806,1.319284,1.473877,1.472423
"Hiphop_HIGH_17.mp3",0.21756,0.182097,-0.544682,0.524297,0.035836,0.030952,0.054416,3.712987,3811.576221,107.686133,1.978834,0.510935,0.076942,2243.811179,1662.156554,1.867325,0.354828,0.319892,68.735792,313.770109,282.389313,58.633877,4.92414,0.367807,0.076479,-0.040641,0.077186,0.472744,0.993052,1.288481,1.013029,0.915048,1.456965
"Hiphop_HIGH_18.mp3",0.161232,0.160461,1.457949,0.63505,0.038093,0.03185,0.213327,3.75415,4087.491064,141.336649,28.200485,0.104561,0.06197,2161.74634,1561.403231,3.475476,0.46127,0.363228,51.775071,574.463276,311.147319,67.987964,7.350519,0.261599,0.123338,-0.029277,0.048786,0.356559,0.984359,0.936916,0.914715,0.584301,1.267327
"Hiphop_HIGH_19.mp3",0.275105,0.107745,0.021244,0.397822,0.039821,0.04695,-0.497547,3.578878,1104.590353,98.145802,21.998225,0.219871,0.103518,1475.294453,563.001161,8.739101,0.565747,0.220694,28.725669,833.772007,234.577516,65.240549,3.985785,0.653127,0.096226,-0.04411,0.12637,0.882477,0.986175,0.780526,1.081004,1.140793,1.044566
